
CONSCALERA1

"Nombre del ordenador:","CONSCALERA1"
"Ancho actual del enlace:","No negociado"
"Velocidad máxima de enlace:","5.0 GT/s"
"Tipo de dispositivo / puerto:","Extremo integrado del complejo raíz"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","Ninguna"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","7FFFEF8000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) Wi-Fi 6 AX201 160MHz"
"Proveedor de controladores:","Intel"
"Versión del controlador:","22.190.0.4"
"Fecha del controlador del dispositivo:","22-Nov-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_06F0&SUBSYS_00748086&REV_00\3&11583659&0&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Intel Comet Lake PCH-H - HECI #1 [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - HECI #1 [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - HECI #1 [A0]"
"Clase de dispositivo:","Other Communication Device"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06E0&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","7FFFEF7000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Management Engine Interface #1"
"Proveedor de controladores:","Intel"
"Versión del controlador:","2220.3.1.0"
"Fecha del controlador del dispositivo:","08-May-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_06E0&SUBSYS_8719103C&REV_00\3&11583659&0&B0"
"Location Paths","PCIROOT(0)#PCI(1600)"

Intel Comet Lake PCH-H - Keyboard and Text (KT) Redirection [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - Keyboard and Text (KT) Redirection [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - Keyboard and Text (KT) Redirection [A0]"
"Clase de dispositivo:","RS-232 Serial Port"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:22:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06E3&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","IRQ19"
"Pin de interrupción:","INTD#"
"Dirección base de E/S 0","FFF8"
"Dirección base de memoria 1","FCFDF000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Active Management Technology - SOL"
"Proveedor de controladores:","Intel"
"Versión del controlador:","2219.3.0.0"
"Fecha del controlador del dispositivo:","01-May-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_06E3&SUBSYS_8719103C&REV_00\3&11583659&0&B3"
"Location Paths","PCIROOT(0)#PCI(1603)"

Intel Comet Lake PCH-H - SATA AHCI Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - SATA AHCI Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - SATA AHCI Controller [A0]"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:23:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06D2&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F1134000"
"Dirección base de memoria 1","F113A000"
"Dirección base de E/S 2","3080"
"Dirección base de E/S 3","3090"
"Dirección base de E/S 4","3060"
"Dirección base de memoria 5","F1139000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen3 6.0 Gbps"
"Número de puertos:","3"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.31"
"Puertos implementados:","0, 1, 2"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Estado del puerto:","Phy en modo fuera de línea"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) 400 Series Chipset Family SATA AHCI Controller"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","18.36.2.1023"
"Fecha del controlador del dispositivo:","13-Sep-2021"
"DeviceInstanceId","PCI\VEN_8086&DEV_06D2&SUBSYS_8719103C&REV_00\3&11583659&0&B8"
"Location Paths","PCIROOT(0)#PCI(1700)"

Intel Comet Lake PCH-H - PCI Express Root Port #21 [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - PCI Express Root Port #21 [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - PCI Express Root Port #21 [A0]"
"Clase de dispositivo:","PCI-to-PCI Bridge"
"ID de revisión:","F0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:27:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06AC&SUBSYS_00000000&REV_F0"
"Versión:","3.0"
"Ancho máximo del enlace:","4x"
"Ancho actual del enlace:","4x"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","8.0 GT/s"
"Tipo de dispositivo / puerto:","Puerto raíz del complejo raíz PCI Express"
"Ranura implementada:","Sí"
"Hot-Plug:","No capaz"
"Hot-Plug Surprise:","No capaz"
"Límite de potencia de la ranura:","25.000 W"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) PCI Express Root Port #21 - 06AC"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.31.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_06AC&SUBSYS_8719103C&REV_F0\3&11583659&0&D8"
"Location Paths","PCIROOT(0)#PCI(1B00)"

PCI Express x4 Bus #1


Hynix Semiconductor NVMe Controller

"Nombre del dispositivo:","Hynix Semiconductor NVMe Controller"
"Nombre del dispositivo original:","Hynix Semiconductor NVMe Controller"
"Clase de dispositivo:","NVMe Controller"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","1:0:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_1C5C&DEV_174A&SUBSYS_174A1C5C&REV_00"
"Versión:","3.0"
"Ancho máximo del enlace:","4x"
"Ancho actual del enlace:","4x"
"Velocidad máxima de enlace:","8.0 GT/s"
"Velocidad de enlace actual:","8.0 GT/s"
"Tipo de dispositivo / puerto:","Punto final PCI Express"
"Ranura implementada:","No"
"Emergency Power Reduction:","No soportado"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Deshabilitado"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","256 bytes"
"Soporte BAR redimensionable:","No soportado"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","F1000000"
"Dirección base de memoria 2","F1005000"
"Dirección base de memoria 3","F1004000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Controladora NVM Express estándar"
"Descripción del controlador:","Controladora NVM Express estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1566"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_1C5C&DEV_174A&SUBSYS_174A1C5C&REV_00\4&1FDE959F&0&00D8"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)"

Intel Q470 (Comet Lake) PCH-H - LPC Controller/eSPI Controller [A0]

"Nombre del dispositivo:","Intel Q470 (Comet Lake) PCH-H - LPC Controller/eSPI Controller [A0]"
"Nombre del dispositivo original:","Intel Q470 (Comet Lake) PCH-H - LPC Controller/eSPI Controller [A0]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0687&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) LPC Controller (Q470) - 0687"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.31.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_0687&SUBSYS_8719103C&REV_00\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Comet Lake PCH-H - cAVS (Audio, Voice, Speech) [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - cAVS (Audio, Voice, Speech) [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - cAVS (Audio, Voice, Speech) [A0]"
"Clase de dispositivo:","High Definition Audio"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06C8&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","IRQ16"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","7FFFEFC000"
"Dirección base de memoria 4","7FFFF00000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Controladora de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1566"
"Fecha del controlador del dispositivo:","09-Feb-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_06C8&SUBSYS_8719103C&REV_00\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Comet Lake PCH-H - SMBus Host Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - SMBus Host Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - SMBus Host Controller [A0]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:4"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06A3&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","4000104000"
"Dirección base de E/S 4","EFA0"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SMBus - 06A3"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.31.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_06A3&SUBSYS_8719103C&REV_00\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Comet Lake PCH-H - SPI (flash) Controller [A0]

"Nombre del dispositivo:","Intel Comet Lake PCH-H - SPI (flash) Controller [A0]"
"Nombre del dispositivo original:","Intel Comet Lake PCH-H - SPI (flash) Controller [A0]"
"Clase de dispositivo:","Other Serial Bus Controller"
"ID de revisión:","0 [A0]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:5"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_06A4&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Dirección base de memoria 0","FE010000"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) SPI (flash) Controller - 06A4"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.31.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_06A4&SUBSYS_8719103C&REV_00\3&11583659&0&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Intel Ethernet Connection I219-LM

"Nombre del dispositivo:","Intel Ethernet Connection I219-LM"
"Nombre del dispositivo original:","Intel Ethernet Connection I219-LM"
"Clase de dispositivo:","Ethernet Adapter"
"ID de revisión:","0"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:6"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_0D4C&SUBSYS_8719103C&REV_00"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTA#"
"Dirección base de memoria 0","FCFE0000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Ethernet Connection (11) I219-LM"
"Proveedor de controladores:","Intel"
"Versión del controlador:","12.19.2.50"
"Fecha del controlador del dispositivo:","02-Nov-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_0D4C&SUBSYS_8719103C&REV_00\3&11583659&0&FE"
"Location Paths","PCIROOT(0)#PCI(1F06)"

Adaptador gráfico


Intel UHD Graphics 630

"Chipset de gráficos:","Intel UHD Graphics 630"
"Nombre en clave del chipset de gráficos:","Comet Lake-S GT2"
"Memoria gráfica:","1024 MBytes"
"Tarjeta grafica:","Intel UHD Graphics 630 (Comet Lake-S GT2) [G1] [Hewlett-Packard]"
"Bus de tarjeta gráfica:","PCIe v2.0 x0 (5.0 GT/s) @ [DISABLED]"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","349.2 MHz"
"Frecuencia de memoria gráfica:","1330.0 MHz"
"Ancho del bus de memoria gráfica:","64-bit"
"Número de ALU (núcleos):","192"
"Número de EU (unidades de ejecución):","24"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_9BC8&SUBSYS_8719103C&REV_03"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) UHD Graphics 630"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","30.0.101.1340"
"Fecha del controlador del dispositivo:","02-Feb-2022"
"DCH/UWD Driver:","Capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_9BC8&SUBSYS_8719103C&REV_03\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


HP [Unknown Model: HPN3633]

"Nombre del monitor:","HP [Unknown Model: HPN3633]"
"Nombre del monitor (del fabricante):","HP P204v     "
"Número de serie:","3CQ20127BZ   "
"Fecha de manufactura:","Semana: 1, Año: 2022"
"ID de hardware del monitor:","Monitor\HPN3633"
"Máx. Tamaño vertical:","24 cm"
"Máx. Tamaño horizontal:","44 cm"
"Frecuencia horizontal:","30 - 70 kHz"
"Frecuencia vertical:","50 - 60 Hz"
"Reloj máximo de píxeles:","170 MHz"
"Señal de entrada:","Digital"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","No soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"DFP 1.x Compatible:","No"
"1600 x 900","60 Hz"
"1440 x 900","60 Hz"
"1280 x 1024","60 Hz"
"1280 x 800","60 Hz"
"1280 x 720","60 Hz"
"1600 x 900","432 x 240 mm, Reloj de píxeles 108.00 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1151"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\HPN3633\4&2758849&0&UID206395"
"Location Paths","ACPI(_SB_)#ACPI(PCI0)#ACPI(GFX0)#ACPI(DD08)"

Unidades de disco


Unidades (S)ATA/ATAPI


Unidades NVMe


SK hynix BC711 HFM512GD3JX013N

"Controlador de unidad:","NVMe (PCIe 4x 8.0 GT/s)"
"Controlador de host:","Hynix Semiconductor NVMe Controller"
"Modelo de unidad:","SK hynix BC711 HFM512GD3JX013N"
"Número de serie de la unidad:","FYB2N038510202K1B"
"Revisión de firmware de la unidad:","HPS1"
"Versión NVMe admitida:","v1.3"
"Capacidad de la unidad:","488,386 MBytes (512 GB)"
"Drive Capacity [MB]:","488386"
"Volatile Write Cache:","Presente"
"Compare Command:","Soportado"
"Write Uncorrectable Command:","Soportado"
"Dataset Management:","Soportado"
"Write Zeroes:","Soportado"
"Save field set to a non-zero value:","Soportado"
"Reservations:","No soportado"
"Timestamp:","Soportado"
"Autonomous Power State Transitions:","Soportado"
"Espacio disponible por debajo del umbral:","Normal"
"La temperatura superó el umbral crítico:","Normal"
"Confiabilidad del dispositivo degradada:","Normal"
"Medios en modo de solo lectura:","Normal"
"El dispositivo de respaldo de memoria volátil falló:","Normal"
"Temperatura del disco:","38 °C"
"Umbral de temperatura de advertencia:","84 °C"
"Umbral de temperatura crítica:","85 °C"
"Tiempo por encima del umbral de temperatura de advertencia:","0 minutos"
"Tiempo por encima del umbral de temperatura crítica:","0 minutos"
"Capacidad de repuesto disponible:","100%"
"Estado del dispositivo:","100%"
"Ciclos de energía:","5345"
"Horas de encendido:","3215 horas"
"Paradas inseguras:","42"
"Errores de medios:","0"
"Lecturas totales del anfitrión:","2856 GBytes"
"Escrituras totales del anfitrión:","10549 GBytes"

Audio


Intel Comet Lake PCH-H - cAVS (Audio, Voice, Speech) [A0]

"Adaptador de sonido:","Intel Comet Lake PCH-H - cAVS (Audio, Voice, Speech) [A0]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_06C8&SUBSYS_8719103C&REV_00"
"Códec de audio de alta definición:","RealTek ALC897"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0897&SUBSYS_103C8719&REV_1004"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Realtek High Definition Audio"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","6.0.9360.1"
"Fecha del controlador del dispositivo:","30-May-2022"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0897&SUBSYS_103C8719&REV_1004\4&321A52B7&0&0001"
"Códec de audio de alta definición:","Intel"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000"
"Fabricante del controlador:","Intel(R) Corporation"
"Descripción del controlador:","Sonido Intel(R) para pantallas"
"Proveedor de controladores:","Intel(R) Corporation"
"Versión del controlador:","10.27.0.11"
"Fecha del controlador del dispositivo:","28-Jul-2021"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_8086&DEV_280B&SUBSYS_80860101&REV_1000\4&321A52B7&0&0201"

Red


Intel Wi-Fi 6 AX201 160MHz

"Tarjeta de red:","Intel Wi-Fi 6 AX201 160MHz"
"Descripción del proveedor:","Microsoft"
"Dirección MAC:","20-1E-88-43-11-24"
"Velocidad máxima de enlace:","1 Mbps"
"Tamaño del búfer de transmisión:","Desconocido"
"Tamaño del búfer de recepción:","Desconocido"
"ID de hardware:","PCI\VEN_8086&DEV_06F0&SUBSYS_00748086&REV_00"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) Wi-Fi 6 AX201 160MHz"
"Proveedor de controladores:","Intel"
"Versión del controlador:","22.190.0.4"
"Fecha del controlador del dispositivo:","22-Nov-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_06F0&SUBSYS_00748086&REV_00\3&11583659&0&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Intel Ethernet Connection I219-LM

"Tarjeta de red:","Intel Ethernet Connection I219-LM"
"Descripción del proveedor:","Intel(R) Ethernet Connection (11) I219-LM"
"Dirección MAC:","84-69-93-01-2F-0A"
"Velocidad máxima de enlace:","1000 Mbps"
"Tamaño del búfer de transmisión:","775168 Bytes"
"Tamaño del búfer de recepción:","389632 Bytes"
"ID de hardware:","PCI\VEN_8086&DEV_0D4C&SUBSYS_8719103C&REV_00"
"Fabricante del controlador:","Intel"
"Descripción del controlador:","Intel(R) Ethernet Connection (11) I219-LM"
"Proveedor de controladores:","Intel"
"Versión del controlador:","12.19.2.50"
"Fecha del controlador del dispositivo:","02-Nov-2022"
"DeviceInstanceId","PCI\VEN_8086&DEV_0D4C&SUBSYS_8719103C&REV_00\3&11583659&0&FE"
"Location Paths","PCIROOT(0)#PCI(1F06)"

Puertos


Puertos seriales


COM3


USB


Controlador de host eXtensible Intel(R) USB 3.1 - 1.10 (Microsoft)


Root Hub


[Port1] : Chicony Electronics, PID=3F41

"Fabricante del dispositivo:","Chicony "
"Nombre del producto:","HP Wired Desktop 320K Keyboard"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F2&PID_3F41"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F2&PID_3F41\5&21396DEC&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : HP Optical Mouse

"Fabricante del dispositivo:","PixArt"
"Nombre del producto:","HP USB Optical Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo de entrada USB"
"ID de hardware:","USB\VID_03F0&PID_134A"
"Fabricante del controlador:","(Dispositivos de sistema estándar)"
"Descripción del controlador:","Dispositivo de entrada USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.868"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_134A\5&21396DEC&0&3"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


[Port5] : HP, PID=1353

"Fabricante del dispositivo:","HP"
"Nombre del producto:","Ink Tank Wireless 410 series"
"Número de serie:","BR88OFF4VV06V2"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_03F0&PID_1353"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_03F0&PID_1353\BR88OFF4VV06V2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : Kingston Technology DataTraveler G4

"Fabricante del dispositivo:","Kingston"
"Nombre del producto:","DataTraveler 3.0"
"Número de serie:","E0D55EA57490F4B0394629EE"
"Versión USB admitida:","3.00 (Connected to a USB 2.00 Port)"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"ID de hardware:","USB\VID_0951&PID_1666"
"Fabricante del controlador:","Dispositivo de almacenamiento USB compatible"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0951&PID_1666\E0D55EA57490F4B0394629EE"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : Intel(R) Wireless Bluetooth(R)

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel(R) Wireless Bluetooth(R)"
"Número de serie:","-"
"Versión USB admitida:","2.01"
"Velocidad del dispositivo USB:","USB 1.1 Full-speed"
"Descripción del controlador:","Intel(R) Wireless Bluetooth(R)"
"ID de hardware:","USB\VID_8087&PID_0026"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) Wireless Bluetooth(R)"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","22.190.0.2"
"Fecha del controlador del dispositivo:","07-Nov-2022"
"DeviceInstanceId","USB\VID_8087&PID_0026\5&21396DEC&0&14"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(14)"

[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected


[Port25] : No Device Connected


[Port26] : No Device Connected

